roaster,product_name,origin,roast_type,size,price,hearts,total_reviews,heart_percentage,decaf,blend,single_origin,available_ground,tags,url,product_id,has_reviews,price_numeric,size_oz,price_per_oz
Tonys Coffee,Cafe Carmelita Decaf,Unspecified,Medium Roast,12oz,$14.39,32,39,82.1,True,True,False,True,"Medium Roast, Blend, Decaf, Fair Trade, Organic, Available Ground",/products/cafe-carmelita-decaf,5d72afe90edbf60016ef18ac,True,14.39,12,1.2
Tonys Coffee,Cafe Carmelita Decaf,Unspecified,Medium Roast,24oz,$26.10,32,39,82.1,True,True,False,True,"Medium Roast, Blend, Decaf, Fair Trade, Organic, Available Ground",/products/cafe-carmelita-decaf,5d72afe90edbf60016ef18ac,True,26.1,24,1.09
Tonys Coffee,Cafe Carmelita Decaf,Unspecified,Medium Roast,80oz,$67.50,32,39,82.1,True,True,False,True,"Medium Roast, Blend, Decaf, Fair Trade, Organic, Available Ground",/products/cafe-carmelita-decaf,5d72afe90edbf60016ef18ac,True,67.5,80,0.84
Tony's Coffee,French Royale,Unspecified,Dark Roast,12oz,$12.32,31,41,75.6,False,True,False,True,"Dark  Roast, Blend, Fair Trade, Organic, Available Ground, Featured",/products/french-royale,5a16448c3427c60014b0717c,True,12.32,12,1.03
Tony's Coffee,French Royale,Unspecified,Dark Roast,80oz,$63.00,31,41,75.6,False,True,False,True,"Dark  Roast, Blend, Fair Trade, Organic, Available Ground, Featured",/products/french-royale,5a16448c3427c60014b0717c,True,63.0,80,0.79
Stamp Act Coffee,Mwendi Wega AA - Kenya,Kenya,Light Roast,32oz,$53.46,29,35,82.9,False,False,True,False,"Light Roast, Kenya, Single Origin",/products/mwendi-wega-aa--kenya,5bd2966193311718a8e84d4d,True,53.46,32,1.67
Stamp Act Coffee,Mwendi Wega AA - Kenya,Kenya,Light Roast,80oz,$126.23,29,35,82.9,False,False,True,False,"Light Roast, Kenya, Single Origin",/products/mwendi-wega-aa--kenya,5bd2966193311718a8e84d4d,True,126.23,80,1.58
Blossom Coffee Roasters,Ratu Ketiara Women's Cooperative,Unspecified,Medium Roast,12oz,$17.55,27,38,71.1,False,False,True,True,"Medium Roast, Sumatra, Fair Trade, Organic, Available Ground, Single Origin",/products/ratu-ketiara-womens-cooperative,5f73afe9ed84490004f51ba9,True,17.55,12,1.46
Blossom Coffee Roasters,Ratu Ketiara Women's Cooperative,Unspecified,Medium Roast,32oz,$37.80,27,38,71.1,False,False,True,True,"Medium Roast, Sumatra, Fair Trade, Organic, Available Ground, Single Origin",/products/ratu-ketiara-womens-cooperative,5f73afe9ed84490004f51ba9,True,37.8,32,1.18
Blossom Coffee Roasters,Ratu Ketiara Women's Cooperative,Unspecified,Medium Roast,80oz,$82.80,27,38,71.1,False,False,True,True,"Medium Roast, Sumatra, Fair Trade, Organic, Available Ground, Single Origin",/products/ratu-ketiara-womens-cooperative,5f73afe9ed84490004f51ba9,True,82.8,80,1.03
