roaster,product_name,origin,roast_type,size,price,hearts,total_reviews,heart_percentage,decaf,blend,single_origin,available_ground,tags,has_reviews,price_numeric,size_oz,price_per_oz
Stamp Act Coffee,Mwendi Wega AA - Kenya,Kenya,Light Roast,32oz,$53.46 ,29,35,82.9,FALSE,FALSE,TRUE,FALSE,"Light Roast, Kenya, Single Origin",TRUE,53.46,32,1.67
Stamp Act Coffee,Mwendi Wega AA - Kenya,Kenya,Light Roast,80oz,$126.23 ,29,35,82.9,FALSE,FALSE,TRUE,FALSE,"Light Roast, Kenya, Single Origin",TRUE,126.23,80,1.58
Blossom Coffee Roasters,Ratu Ketiara Women's Cooperative,Unspecified,Medium Roast,12oz,$17.55 ,27,38,71.1,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Sumatra, Fair Trade, Organic, Available Ground, Single Origin",TRUE,17.55,12,1.46
Blossom Coffee Roasters,Ratu Ketiara Women's Cooperative,Unspecified,Medium Roast,32oz,$37.80 ,27,38,71.1,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Sumatra, Fair Trade, Organic, Available Ground, Single Origin",TRUE,37.8,32,1.18
Blossom Coffee Roasters,Ratu Ketiara Women's Cooperative,Unspecified,Medium Roast,80oz,$82.80 ,27,38,71.1,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Sumatra, Fair Trade, Organic, Available Ground, Single Origin",TRUE,82.8,80,1.03
Seven Coffee Roasters,Sumatra Mandheling Old School,Unspecified,Medium Roast,12oz,$15.27 ,24,37,64.9,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Sumatra, Available Ground, Single Origin",TRUE,15.27,12,1.27
Tonys Coffee,Sumatra,Unspecified,Medium Roast,12oz,$12.59 ,22,30,73.3,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Sumatra, Fair Trade, Organic, Shade Grown, Available Ground, Single Origin, Kosher",TRUE,12.59,12,1.05
Tonys Coffee,Sumatra,Unspecified,Medium Roast,80oz,$63.00 ,22,30,73.3,FALSE,FALSE,TRUE,TRUE,"Medium Roast, Sumatra, Fair Trade, Organic, Shade Grown, Available Ground, Single Origin, Kosher",TRUE,63,80,0.79
Kuma Coffee Roasters,Classic,Unspecified,Medium Roast,12oz,$20.86 ,22,29,75.9,FALSE,TRUE,FALSE,FALSE,"Medium Roast, Blend",TRUE,20.86,12,1.74
Victrola,Triborough Blend,Unspecified,Medium-Dark Roast,12oz,$13.95 ,21,27,77.8,FALSE,TRUE,FALSE,FALSE,"Medium-Dark Roast, Blend, Espresso",TRUE,13.95,12,1.16
Caffe Vita,Novacella Decaf,Colombia,Medium-Dark Roast,12oz,$16.20 ,19,22,86.4,TRUE,FALSE,TRUE,TRUE,"Medium-Dark Roast, Colombia, Decaf, Direct Trade, Available Ground, Single Origin",TRUE,16.2,12,1.35
Caffe Vita,Novacella Decaf,Colombia,Medium-Dark Roast,80oz,$85.50 ,19,22,86.4,TRUE,FALSE,TRUE,TRUE,"Medium-Dark Roast, Colombia, Decaf, Direct Trade, Available Ground, Single Origin",TRUE,85.5,80,1.07
Blossom Coffee Roasters,Decaf Ethiopia,Ethiopia,Medium Roast,12oz,$19.35 ,19,22,86.4,TRUE,FALSE,TRUE,TRUE,"Medium Roast, Ethiopia, Decaf, Organic, Available Ground, Single Origin",TRUE,19.35,12,1.61
